title,Course
MATH,1241
MATH,1242
ENGL,2116
ITSC,3688
ITSC,1212
ITSC,1213
ITSC,2214
ITSC,3146
ITSC,3155
ITSC,3181
ITSC,1600
ITSC,2600
ITSC,2175
MATH,1165
MATH,2164
STAT,2122
ITCS,4232
ITCS,4238
ITIS,4011
ITIS,4246
ITSC,4155
ITSC,4681
ITSC,4682
ITSC,4750
ITSC,4850
ITSC,4851
ITSC,4990
ITSC,4991
ITCS,3153
ITCS,3120
ITCS,3134
ITCS,4111
ITCS,4123
ITCS,4124
ITCS,4150
ITCS,4151
ITCS,4152
ITCS,4156
ITCS,4230
ITCS,4231
ITCS,4236
ITCS,3145
ITCS,3166
ITCS,3143
ITCS,3160
ITCS,4141
ITCS,4182
ITIS,4221
ITCS,3110
ITCS,3112
ITCS,4102
ITIS,3320
ITCS,4131
ITCS,4180
ITIS,3200
ITIS,4166
BINF,4650
BINF,4900
BINF,1101
BINF,2111
BINF,3101
BINF,4600
BINF,3121
BINF,3211
BINF,4211
BINF,4171
BINF,4191
BINF,3131
BINF,3201
BINF,4101
BINF,4111
ITIS,3130
ITIS,3135
ITIS,4180
ITIS,4440
ITCS,3162
ITCS,3190
ITCS,3216
INFO,3236
ITCS,4121
ITCS,4122
ITIS,4510
ITIS,3246
ITIS,4250
ITIS,4260
ITIS,4420
